PMID,Year,Journal_ISO,Title,DOI,PMC,Danbee_Position,Has_Abstract,Num_Authors
41490113,2026,JAMA Netw Open,Racial and Ethnic Disparities in Persistent Chemotherapy-Induced Alopecia Among Women With Breast Cancer.,10.1001/jamanetworkopen.2025.49146,PMC12771251,first,yes,15
41572547,2025,Int J Surg,Autologous vs. implant-based breast reconstruction and long-term mental disorder risk: a retrospective cohort study emulating a target trial.,10.1097/JS9.0000000000003537,PMC12825906,first,yes,11
41432961,2025,Qual Life Res,"Quality of life, function, and symptom trajectory patterns following salivary gland cancer treatment: a 5-year prospective cohort study.",10.1007/s11136-025-04125-4,,first,yes,7
41383953,2025,Hum Reprod Open,Association of maternal pre-existing atherosclerotic cardiovascular disease and neonatal and long-term offspring outcomes: a nationwide mother-child paired cohort.,10.1093/hropen/hoaf074,PMC12690663,first,yes,14
40930618,2025,J Am Coll Cardiol,Statins in Type 1 Diabetes: Bridging the Evidence Gap With Target Trial Emulation.,10.1016/j.jacc.2025.07.021,,first,yes,3
40863442,2025,J Pers Med,Real-World Evidence on Low-Dose Olanzapine (≤1.25 mg) for Personalized Antipsychotic Dosing.,10.3390/jpm15080380,PMC12387202,first,yes,4
40627066,2025,Eur J Epidemiol,Breast Cancer Information Grand Round for Survivorship (BIG-S) prospective cohort.,10.1007/s10654-025-01262-5,PMC12374896,first,yes,11
40516881,2025,J Am Acad Dermatol,Scalp cooling for preventing persistent chemotherapy-induced alopecia in anthracycline-treated patients: A single-arm trial.,10.1016/j.jaad.2025.06.023,,first,yes,12
40294950,2025,CMAJ,Clinical significance of low-density lipoprotein cholesterol percentage reduction and attained levels after percutaneous coronary intervention.,10.1503/cmaj.241713,PMC12040332,first,yes,12
40131016,2025,Eur Heart J,Less harmful alternative for smoking: addressing concerns on the observational study of electronic cigarettes and cardiovascular outcomes.,10.1093/eurheartj/ehaf153,,first,yes,2
40096290,2025,Circulation,Risk of Cancer in Newborns With Congenital Heart Disease and Their Mothers: A Nationwide Cohort Study.,10.1161/CIRCULATIONAHA.124.071811,,first,yes,9
40008373,2025,Patient Prefer Adherence,Development and Validation of Facial Line Distress Scale-Glabellar Lines (FINE-GL).,10.2147/PPA.S497415,PMC11853867,first,yes,6
39962947,2025,EuroIntervention,Effects of proton pump inhibitors on gastrointestinal bleeding and cardiovascular outcomes in myocardial infarction patients treated with DAPT.,10.4244/EIJ-D-24-00673,PMC11809224,first,yes,12
39775792,2025,Eur Heart J,Combustible cigarette smoking harms nearly every organ in the body.,10.1093/eurheartj/ehae896,,first,yes,2
39429032,2025,Eur Heart J,Prognosis after switching to electronic cigarettes following percutaneous coronary intervention: a Korean nationwide study.,10.1093/eurheartj/ehae705,,first,yes,13
39126264,2024,Cancer Med,Measuring patient-reported distress from breast magnetic resonance imaging: Development and validation of the MRI-related distress scale (MRI-DS).,10.1002/cam4.70089,PMC11316135,first,yes,7
38843479,2024,J Clin Oncol,Scalp Cooling in Preventing Persistent Chemotherapy-Induced Alopecia: A Randomized Controlled Trial.,10.1200/JCO.23.02374,,first,yes,12
38484885,2024,J Affect Disord,Emulating trial to evaluate the effectiveness of routine supportive care on mortality among cancer patients experiencing distress at the time of diagnosis.,10.1016/j.jad.2024.03.024,,first,yes,9
38472736,2024,Breast Cancer,"Comprehensive Young Age Breast Cancer registry from clinical, genomics, and patient-reported outcomes measured with 15 years follow-up: the CHARM cohort profile.",10.1007/s12282-024-01559-5,,first,yes,13
37669709,2023,Cancer Res Treat,Impact of Social Support during Diagnosis and Treatment on Disease Progression in Young Patients with Breast Cancer: A Prospective Cohort Study.,10.4143/crt.2023.673,PMC10789941,first,yes,11
37547446,2023,Ther Adv Med Oncol,Pretreatment endocrine symptoms and recurrence-free survival among young premenopausal patients with breast cancer: a prospective cohort study.,10.1177/17588359231189421,PMC10399274,first,yes,11
37309655,2023,JMIR Public Health Surveill,Prediction Model for Postoperative Quality of Life Among Breast Cancer Survivors Along the Survivorship Trajectory From Pretreatment to 5 Years: Machine Learning-Based Analysis.,10.2196/45212,PMC10485708,first,yes,12
36884274,2023,JMIR Public Health Surveill,Surveillance of Symptom Burden Using the Patient-Reported Outcome Version of the Common Terminology Criteria for Adverse Events in Patients With Various Types of Cancers During Chemoradiation Therapy: Real-World Study.,10.2196/44105,PMC10034615,first,yes,9
36942579,2022,Palliat Support Care,Divorce after breast cancer diagnosis and its impact on quality of life.,10.1017/S1478951521001711,,first,yes,15
36512301,2022,Qual Life Res,Pre-treatment quality of life in patients with salivary gland cancer in comparison with those of head and neck cancer patients.,10.1007/s11136-022-03323-8,,first,yes,6
