Year,Cross-sectional,Editorial,Letter,Other,Pilot RCT,Prospective cohort,RCT,Retrospective cohort,Single-arm trial,Systematic review,Target trial emulation,Validation study,Total
2015,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,2,0,0,0,0,1,0,0,0,0,0,0,3
2018,0,0,0,0,0,1,0,0,0,0,0,0,1
2019,0,0,0,0,1,0,0,0,0,0,0,0,1
2020,2,0,0,1,0,0,0,0,0,1,0,0,4
2021,0,0,0,0,0,0,2,2,0,0,0,2,6
2022,3,0,0,0,0,1,1,1,0,0,0,1,7
2023,1,0,0,0,0,2,0,0,0,0,0,1,4
2024,0,0,0,0,0,1,1,0,0,0,1,1,4
2025,0,3,1,0,0,2,0,5,1,0,1,1,14
2026,0,0,0,0,0,1,0,0,0,0,0,0,1
TOTAL,8,3,1,1,1,10,4,8,1,1,2,6,46
