kepid_sim,koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_steff,koi_srad,koi_model_snr,y,koi_fpflag_1,koi_fpflag_2,koi_fpflag_3,koi_fpflag_4,koi_score
0,15.239664697030028,1.954096807008029,169.41961321211244,1.5217445803783498,0.1661080085381083,5894.575234180054,0.9542464075356237,2.053157516717818,0,1,0,1,1,0.11310939712522411
1,51.21300794172083,2.7386051574278714,747.502134918225,1.9420211041322883,0.4382649819025536,4636.932496593009,1.364256731403893,4.9265704538307284,0,1,1,1,1,0.5704777152674185
2,1.51075564813614,3.623994585389851,1514.244616614565,2.5543017654587006,0.3113696754268591,4637.145999430156,1.5497551978687025,12.335926125971934,0,1,1,1,1,0.9443545757253888
3,31.54725526225235,2.4686031582943317,1039.7874185470268,0.7985302445098578,0.45196639718212056,5745.123871998186,0.7679329274211305,5.708072492472296,0,1,1,1,1,0.21109100467948438
3,17.227923477708817,1.301536114903752,923.4031773480756,1.0844543668067426,0.5353587462757156,6422.70398378233,1.0461901587746314,2.8049845957625084,0,1,1,1,1,0.27061037079122274
3,5.620788577731708,5.963346091283599,2997.0845028103904,4.2219916746700275,0.48291914683479603,4609.344329009494,1.1625635077475376,6.74098401184252,1,0,0,0,0,1.0
4,5.665415138725049,1.8564516124137116,284.87391415987116,3.367619426041719,0.4716681451763698,5398.756319963017,1.1922140847696798,6.163888302752108,0,1,1,1,1,0.22756409169269384
5,10.175843586266737,3.550630468457926,687.6150750042576,2.0022812674537698,0.45089445717607723,4858.366765784623,0.8599033182852206,8.489137502256666,0,1,1,1,1,0.49190815412596556
5,9.602609957267742,2.3124142628223194,820.2209680798695,2.123476372810199,0.051682276431787855,5772.4038536340795,1.2776532243208523,6.150924359128598,0,1,1,1,1,0.30445680549169574
5,12.995550798203304,2.3199789855623605,749.6909354858572,2.440799656105958,0.31661293148907566,5713.738933590143,0.9549944572643316,12.78696130577374,1,1,0,0,0,1.0
6,4.804472492085747,4.191142089927879,265.6767698066874,1.4227101677555694,0.36097103095989563,4866.9621014371705,0.906747174598958,8.266858336871906,0,1,1,1,1,0.68668072974109
7,16.73713203139249,1.5406628357560244,1471.2746943464772,0.7193200616333909,0.33799384162814305,6007.816184405217,1.8170172167875533,9.539524769809663,0,1,1,1,1,0.562061840736267
8,8.604333064662129,3.278131774459228,426.89096674390504,2.17944127710269,0.25265852791999527,7090.3895675545755,1.4441721045394595,8.015862765919497,1,0,0,0,0,1.0
8,9.819707269825713,1.8421582339983598,2511.6844041371596,2.6164257508725424,0.23981717472060743,6106.660608710169,0.739195154080932,4.869406754745933,0,1,1,1,1,0.3103513532470152
9,65.35737779903775,2.1543859424049323,147.60230422187743,1.7820035288758722,1.0362871523357358,4937.775745402233,1.2350564291259227,5.740780998423539,0,1,1,1,1,0.012362174639998525
9,12.719087125513035,2.5597458862357363,1211.0861130427543,1.4205295520772474,0.7541893306831506,5551.677082466662,0.8318561860142004,6.300132984979116,0,1,1,1,0,0.20807708792640214
10,12.595818329817407,3.717252513634858,2575.965592598203,5.23727351471278,0.46237514072912844,5619.534658778933,1.0172311491898884,6.485040896735118,1,0,1,0,0,1.0
10,6.955659156610228,3.714525242219924,3232.6970829830893,1.545894452074469,0.6217118236058052,5791.976989570468,0.5894938634851958,5.2909086849297475,1,0,0,0,0,0.1547180758789592
10,11.588298480166863,1.866505587174276,1150.3647367595581,0.5969028514610323,0.5870811470311585,6588.472889601631,0.9978920446654971,2.9673782808567806,0,1,1,1,1,0.0
11,18.216836604533853,2.6800616206534444,912.6265323036412,2.4265799817083553,0.4287571596063363,5051.2494706684065,0.6626255280526523,7.730817914495119,0,1,1,1,1,1.0
